"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"C1,C2,C6,C8,C10","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C3,C4,C5,C7,C9,C11","6","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C12,C13","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"D1,D5,D6,D7,D8","5","1N5819HW-7-F","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf",""
"D2,D3,D4,D9","4","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~",""
"F1","1","Polyfuse","","","","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C165948"
"J2","1","Screen","","","","Connector_JST:JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical","~",""
"J3","1","C1","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"J4","1","touch_screen","","","","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical","~",""
"J5","1","connecteur_LED","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~",""
"J7","1","Bat+","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~",""
"J8","1","Bat-","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~",""
"J11","1","Pump1","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~",""
"J12","1","Pump2","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~",""
"J13","1","Pump3","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~",""
"J14","1","C2","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"J15","1","C3","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"J16","1","C4","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~",""
"L1","1","4.7uH","","","","Library:inductor_48100SC","~","C5123183"
"Q1","1","FS8205A","","","","FS8205A:SOP65P640X120-8N","",""
"Q2,Q3,Q4","3","AO3400A","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf",""
"R1,R2","2","5k1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R3,R4,R9,R10,R16,R18,R20","7","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R5,R6,R7,R12,R21","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R8","1","1k2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R11,R15,R17,R19","4","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R13","1","22k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"R14","1","3k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"SW1,SW2","2","SW_MEC_5G","","","","Library:bouton_smd_kit_botanique","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488",""
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
"U2","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1_homemade","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","C2913199"
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf",""
"U4","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","C16581"
"U5","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF"," C436931"
"U6","1","MT3608","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf","C84817"
"U7","1","SK12D07VG4","","","","SK12D07VG4:SK12D07VG4","",""
